Date,Name,Status,Project,Count
9/25/2018,Apache Spark,Open,Spark,23
8/1/2018,Sebastian,Open,ActiveMQ Artemis,22
6/29/2018,Apache Spark,Open,Apache Airflow,22
8/30/2012,Shazron Abdullah,Closed,Apache Cordova,22
7/8/2018,Anirudh Acharya,In Progress,Apache MXNet,22
7/12/2018,Jeongyoon Eo,Open,Apache Nemo,22
11/26/2017,Jun He,Open,Bigtop,22
7/31/2018,Vladimir Sitnikov,Open,Calcite,22
8/15/2018,Yana,Open,Cayenne,22
7/26/2018,Gilles,Open,Commons RNG,22
6/20/2017,Steve Loughran,Open,Hadoop Common,22
8/9/2018,Da Zhou,Patch Available,Hadoop Common,22
6/19/2018,Shashikant Banerjee,Open,Hadoop Distributed Data Store,22
7/5/2018,Shashikant Banerjee,Patch Available,Hadoop Distributed Data Store,22
7/19/2018,Hanisha Koneru,Patch Available,Hadoop Distributed Data Store,22
9/13/2018,LiXin Ge,Open,Hadoop Distributed Data Store,22
9/6/2018,Chao Sun,Patch Available,Hadoop HDFS,22
2/26/2018,Jonathan Hung,Patch Available,Hadoop YARN,22
5/15/2018,Eric Yang,Patch Available,Hadoop YARN,22
6/15/2018,ramkrishna.s.vasudevan,Open,HBase,22
7/31/2018,Jingyun Tian,Patch Available,HBase,22
8/21/2018,stack,Patch Available,HBase,22
2/22/2018,Hive QA,Patch Available,Hive,22
7/5/2018,Jesus Camacho Rodriguez,Patch Available,Hive,22
8/13/2018,slim bouguerra,Patch Available,Hive,22
8/16/2018,Hive QA,Patch Available,Hive,22
8/28/2018,Hive QA,Patch Available,Hive,22
9/24/2018,Hive QA,Patch Available,Hive,22
9/27/2018,Hive QA,Patch Available,Hive,22
4/12/2010,Michael Bouschen,Open,JDO,22
6/20/2018,Mathieu Lirzin,Patch Available,OFBiz,22
7/17/2018,Mathieu Lirzin,Patch Available,OFBiz,22
8/2/2018,Julia Kinga Marton,Patch Available,Oozie,22
8/31/2018,Lars Hofhansl,Open,Phoenix,22
7/10/2018,Arjun Mishra,Patch Available,Sentry,22
7/20/2018,Amrit Sarkar,Open,Solr,22
7/27/2018,Apache Spark,In Progress,Spark,22
8/17/2018,Apache Spark,In Progress,Spark,22
9/4/2018,Apache Spark,In Progress,Spark,22
9/25/2018,Apache Spark,In Progress,Spark,22
8/23/2018,Lukasz Lenart,Open,Struts 2,22
8/3/2018,Wes McKinney,Open,Apache Arrow,21
9/17/2018,Wes McKinney,Open,Apache Arrow,21
3/25/2013,Shazron Abdullah,Closed,Apache Cordova,21
12/9/2013,Shazron Abdullah,Closed,Apache Cordova,21
4/25/2017,Shazron Abdullah,Closed,Apache Cordova,21
1/9/2018,Shazron Abdullah,Closed,Apache Cordova,21
9/21/2018,Kevin Risden,Patch Available,Apache Knox,21
9/27/2018,Kevin Risden,Patch Available,Apache Knox,21
7/11/2018,Vandana Kannan,In Progress,Apache MXNet,21
7/11/2018,Vandana Kannan,To Do,Apache MXNet,21
7/26/2018,Denis Davydenko,To Do,Apache MXNet,21
9/24/2018,Denis Davydenko,To Do,Apache MXNet,21
9/5/2018,Robbe,Open,Beam,21
8/16/2018,Julian Hyde,Open,Calcite,21
7/12/2018,Claus Ibsen,Open,Camel,21
9/21/2018,Benedict,Open,Cassandra,21
8/15/2018,Nikita Timofeev,Open,Cayenne,21
6/22/2018,Ajay Kumar,Patch Available,Hadoop Distributed Data Store,21
7/4/2018,"Elek, Marton",Open,Hadoop Distributed Data Store,21
8/16/2018,Ajay Kumar,Patch Available,Hadoop Distributed Data Store,21
9/18/2018,Arpit Agarwal,Open,Hadoop Distributed Data Store,21
8/12/2018,Fei Hui,Patch Available,Hadoop HDFS,21
6/28/2018,Hadoop QA,Patch Available,HBase,21
6/28/2018,Hudson,Resolved,HBase,21
8/13/2018,Hudson,Resolved,HBase,21
8/22/2018,Tyler Mi,Patch Available,HBase,21
9/12/2018,Hudson,Resolved,HBase,21
10/3/2017,Sahil Takiar,Patch Available,Hive,21
3/6/2018,Hive QA,Patch Available,Hive,21
6/10/2018,BELUGA BEHR,Open,Hive,21
6/17/2018,Sankar Hariappan,Open,Hive,21
7/1/2018,Hive QA,Patch Available,Hive,21
7/6/2018,Sergey Shelukhin,Patch Available,Hive,21
7/21/2018,Ganesha Shreedhara,Patch Available,Hive,21
9/24/2018,Sankar Hariappan,Open,Hive,21
5/7/2014,Jean-Baptiste Onofré,Resolved,Karaf,21
8/10/2018,Zhong Yanghong,In Progress,Kylin,21
9/8/2018,Michael Osipov,Open,Maven Wagon,21
8/10/2018,Gil Portenseigne,Patch Available,OFBiz,21
7/17/2018,Hadoop QA,Patch Available,Oozie,21
9/4/2018,Na Li,Open,Sentry,21
7/2/2018,Apache Spark,Open,Spark,21
7/18/2018,Apache Spark,Open,Spark,21
8/1/2018,Apache Spark,Open,Spark,21
8/14/2018,Apache Spark,Open,Spark,21
8/29/2018,Apache Spark,Open,Spark,21
9/10/2018,Apache Spark,Open,Spark,21
7/19/2018,Marcus Christie,In Progress,Airavata,20
8/20/2018,Antoine Pitrou,Open,Apache Arrow,20
7/12/2012,Shazron Abdullah,Closed,Apache Cordova,20
1/10/2013,Shazron Abdullah,Closed,Apache Cordova,20
3/13/2013,Shazron Abdullah,Closed,Apache Cordova,20
9/26/2018,Kevin Risden,In Progress,Apache Knox,20
8/9/2018,Mikhail Gryzykhin,Open,Beam,20
8/7/2018,Julian Hyde,Open,Calcite,20
8/16/2018,pengzhiwei,Open,Calcite,20
8/31/2018,Vladimir Sitnikov,Open,Calcite,20
9/16/2018,Vladimir Sitnikov,Open,Calcite,20
7/3/2018,Piotr Nowojski,Open,Flink,20
7/11/2018,Till Rohrmann,Open,Flink,20
8/13/2018,Galen O'Sullivan,Open,Geode,20
6/15/2018,Steve Loughran,Patch Available,Hadoop Common,20
9/3/2018,Steve Loughran,Open,Hadoop Common,20
4/20/2017,"Elek, Marton",Patch Available,Hadoop Distributed Data Store,20
7/27/2018,Ajay Kumar,Patch Available,Hadoop Distributed Data Store,20
8/22/2018,Ajay Kumar,Patch Available,Hadoop Distributed Data Store,20
9/13/2018,Arpit Agarwal,Open,Hadoop Distributed Data Store,20
9/24/2018,Anu Engineer,Patch Available,Hadoop Distributed Data Store,20
8/10/2018,Adam Antal,Patch Available,Hadoop HDFS,20
8/8/2017,Szilard Nemeth,Patch Available,Hadoop YARN,20
7/9/2018,Zian Chen,Patch Available,Hadoop YARN,20
10/13/2017,Hadoop QA,Patch Available,HBase,20
10/13/2017,Reid Chan,Patch Available,HBase,20
10/30/2017,stack,Patch Available,HBase,20
5/10/2018,Zheng Hu,Patch Available,HBase,20
6/15/2018,ramkrishna.s.vasudevan,Patch Available,HBase,20
7/4/2018,Hadoop QA,Patch Available,HBase,20
7/6/2018,Hadoop QA,Patch Available,HBase,20
7/24/2018,Hudson,Resolved,HBase,20
8/20/2018,Duo Zhang,Open,HBase,20
8/21/2018,Hadoop QA,Patch Available,HBase,20
8/22/2018,Hadoop QA,Patch Available,HBase,20
